date,time,open,high,low,close,volume,turnover,settlement,open_interest
2010/12/09,0,3173.0,3184.0,3126.2,3139.8,191446.0,181465898820.0,3146.0,22096.0
2010/12/10,0,3130.2,3199.0,3118.4,3171.6,197612.0,186942878760.0,3172.6,21517.0
2010/12/13,0,3220.0,3283.6,3191.0,3275.6,191913.0,186206183220.0,3262.8,18932.0
2010/12/14,0,3273.0,3292.0,3269.0,3277.8,104371.0,102682275240.0,3277.2,14729.0
2010/12/15,0,3279.6,3285.0,3251.0,3252.8,50325.0,49380371820.0,3261.0,9111.0
2010/12/16,0,3280.0,3308.0,3261.2,3264.2,130281.0,128409456840.0,3275.0,20809.0
2010/12/17,0,3279.0,3285.0,3255.0,3281.0,142994.0,140288790240.0,3269.2,23276.0
2010/12/20,0,3293.0,3310.0,3135.0,3209.2,222228.0,214509116100.0,3211.8,23073.0
2010/12/21,0,3220.0,3306.0,3207.4,3303.4,205960.0,201114686580.0,3291.6,24712.0
2010/12/22,0,3303.0,3307.0,3211.4,3243.6,176758.0,173385241140.0,3244.6,22657.0
2010/12/23,0,3244.6,3274.0,3204.4,3218.2,218391.0,212007890820.0,3223.6,23734.0
2010/12/24,0,3211.2,3224.0,3166.8,3196.4,248186.0,238256818920.0,3197.0,24072.0
2010/12/27,0,3211.0,3265.0,3113.0,3118.6,262972.0,252578740560.0,3140.4,25998.0
2010/12/28,0,3118.6,3127.6,3073.4,3074.2,206947.0,192831851700.0,3090.2,27135.0
2010/12/29,0,3070.0,3095.2,3064.4,3091.6,149470.0,138044410500.0,3083.0,27001.0
2010/12/30,0,3083.0,3115.0,3050.2,3093.8,188796.0,174841275180.0,3097.8,24850.0
2010/12/31,0,3097.8,3161.0,3094.4,3157.0,233054.0,218875108560.0,3150.8,21550.0
2011/01/04,0,3171.8,3215.0,3159.2,3192.0,190256.0,182092069800.0,3203.4,21724.0
2011/01/05,0,3188.0,3203.8,3176.4,3186.8,146115.0,139849350240.0,3187.6,19969.0
